decision_ts,spot_trade_count,spot_quote_volume,spot_taker_buy_base,spot_taker_buy_quote,spot_taker_imbalance,perp_trade_count,perp_quote_volume,perp_taker_buy_base,perp_taker_buy_quote,perp_taker_imbalance,spot_perp_basis,spot_perp_return_divergence
2024-01-01 05:00:00+00:00,8209.0,6066274.042673,92.64853,3924189.8112407,0.29377267945236873,14496.0,44466356.9842,667.55,28300055.2521,0.2728749180939518,0.0008630710468807241,5.03324530320981e-06
2024-01-01 05:15:00+00:00,8652.0,8012395.5892136,85.20215,3608492.5263695,-0.09927249941894944,12663.0,45572363.4391,422.439,17906530.1024,-0.2141495963302782,0.0008803264148386286,1.725536795760263e-05
2024-01-01 05:30:00+00:00,6853.0,7730088.3945685,92.0006,3895642.2318045,0.007916606630720802,10463.0,32706436.3586,314.425,13323589.4354,-0.18526192891714266,0.0006709664070149591,-0.00020936000782434405
2024-01-01 05:45:00+00:00,7695.0,7267424.6936587,101.13704,4277452.9714005,0.17715783835582233,12144.0,33022448.925,370.116,15666671.4259,-0.051150236526560144,0.0008431428742784141,0.00017217646726308544
2024-01-01 06:00:00+00:00,9000.0,8149624.7989694,62.35333,2633007.1413674,-0.3538335306674807,17435.0,63913911.8606,589.958,24930658.3926,-0.21986754786734908,0.0009133014016863747,7.01585274089922e-05
2024-01-01 06:15:00+00:00,6781.0,8082328.5125936,109.41906,4624923.5959744,0.1444532571938908,12490.0,47672865.67285,678.225,28690911.69895,0.20365794227006817,0.0007611350050803605,-0.0001521663966048692
2024-01-01 06:30:00+00:00,6279.0,4977812.6405745,73.46327,3108146.8347447,0.24880024989690352,13025.0,40850187.0201,573.063,24268509.8734,0.1881712982835979,0.000673196302294291,-8.793870278722693e-05
2024-01-01 06:45:00+00:00,11943.0,6626963.9017144,92.69378,3925441.2145533,0.18468767078625103,11718.0,35605920.7733,532.987,22590301.5312,0.26890702672910005,0.0006671108028731271,-6.085499419938856e-06
2024-01-01 07:00:00+00:00,7650.0,5767010.7898667,73.15899,3101173.6089478,0.07548736145835488,12439.0,42483770.92931,515.061,21852924.23231,0.02876575004002002,0.0006274464515501428,-3.966435132340962e-05
2024-01-01 07:15:00+00:00,8760.0,10329446.8310215,133.77284,5678469.3535214,0.09947211044598481,19908.0,82334762.253,956.143,40619787.9706,-0.01330162718433181,0.0006637922985988736,3.6345847048480096e-05
